ssn,name,address,cellPhone,phoneNumber,email,role,rank,licence
2410876598,Nan Gage,Marylane51,8639540129,135826,Nan@nanair.com,pilot,copilot,NABAE146
2211658134,Charla Johnson,Marylane52,864940129,2358266,Charla@nanair.com,pilot,copilot,NABAE146
2504939263,Sam Preciado,Marylane53,826940129,2358266,Sam@nanair.com,pilot,copilot,NAFOKKER42
0105841581,David Anderson,Marylane64,836940123,3358268,David@nanair.com,pilot,copilot,NAFOKKER42
2801694123,Jared Greene,Marylane54,8569401294,2358269,Jared@nanair.com,pilot,copilot,NAAIRBUSA6
2410876597,Leesa D Johnson,Marylane55,866940129,3358266,Leesa@nanair.com,pilot,copilot,NAAIRBUSA6
2410876591,Ray E Andrews,Marylane56,876940129,4358266,Ray@nanair.com,pilot,copilot,NAAIRBUSA11
2410876528,Betsy J Wright,Marylane57,886940129,5358266,Betsy@nanair.com,pilot,copilot,NAAIRBUSA11
2410876498,Phillip M Simmons,Marylane58,896940129,6358266,Phillip@nanair.com,pilot,copilot,NAFOKKER43
2410878598,George G Prange,Marylane59,811940129,7358266,George@nanair.com,pilot,copilot,NAFOKKER43
2410879598,Scott K Big,Marylane61,812940129,11358266,Scott@nanair.com,pilot,copilot,NABOEING737
2410816598,Charles C Benoit,Marylane62,86130129,12358266,Charles@nanair.com,pilot,copilot,NABOEING737
2410826598,Deshawn R Gomez,Marylane63,869140129,13358266,Deshawn@nanair.com,pilot,copilot,NAFOKKER45
2410836598,Judith K Fink,Marylane64,869150129,14358266,Judith@nanair.com,pilot,copilot,NAFOKKER45
2410846598,Victor E Smith,Marylane65,869160129,15358266,Victor@nanair.com,pilot,copilot,NAFOKKER14
2410856598,Terry T Wilson,Marylane66,817940129,16358266,Terry@nanair.com,pilot,copilot,NAFOKKER14
2411876598,Barry E Roberts,Marylane67,869401189,17358266,Barry@nanair.com,pilot,copilot,NAFOKKER99
2412876598,Mabel G Johnston,Marylane68,916940129,19358266,Mabel@nanair.com,pilot,copilot,NAFOKKER99
2413876598,Timothy L Gray,Marylane69,516940129,20358266,Timothy@nanair.com,cabincrew,flight service manager,N/A
1404853585,Lula Stefani,Marylane91,86940129,2358266,Lula@nanair.com,cabincrew,flight service manager,N/A
0905862878,Richard Sanders,Marylane92,86940129,2358266,Richard@nanair.com,cabincrew,flight service manager,N/A
1816931544,John Kline,Marylane93,86940129,2358266,John@nanair.com,cabincrew,flight service manager,N/A
0407858797,Evelyn Pickhardt,Marylane94,86940129,2358266,Evelyn@nanair.com,cabincrew,flight service manager,N/A
3008688722,Stacey Henrickson,Marylane95,86940129,2358266,Stacey@nanair.com,cabincrew,flight attendant,N/A
3009962187,Delores Whitfield,Marylane96,86940129,2358266,Delores@nanair.com,cabincrew,flight attendant,N/A
1301772221,Maribel Lucero,Marylan975,86940129,2358266,Maribel@nanair.com,cabincrew,flight attendant,N/A
2509913418,Katherine Wernimont,Marylane98,86940129,2358266,Katherine@nanair.com,cabincrew,flight attendant,N/A
0401821122,Andres Ceasar,Marylane01,5136414,3865468,Andres@nanair.com,cabincrew,flight attendant,N/A
1111824819,Heather Carson,Marylane02,1461246,4568458,Heather@nanair.com,cabincrew,flight attendant,N/A
1905751412,Melissa Weaver,Marylane03,8643843,2458248,Melissa@nanair.com,cabincrew,flight attendant,N/A
0702886012,Kenneth Day,Marylane04,896786568,5484758,Kenneth@nanair.com,cabincrew,flight attendant,N/A
3662890955,John Wayne,Gotham 55,7778988,5779997,johnwayne@nanair.com,cabincrew,flight service manager,N/A
1118500037,Bruce Wayne,Gotham 67,7789564,8886399,brucewayne@nanair.com,pilot,captain,NABAE146
